voter_reg_num,county_desc,race,ethnicity,gender,age,voter_city,voter_state,voter_zip,voter_party_code,voted_2016,voted_2020,voted_2024
000000026573,ALEXANDER,WHITE,,F,62,TAYLORSVILLE,NC,28681,REP,1,1,1
000000205416,ALEXANDER,WHITE,,F,32,TAYLORSVILLE,NC,28681,REP,1,0,1
000000206500,ALEXANDER,WHITE,,F,22,TAYLORSVILLE,NC,28681,REP,0,0,0
000000002615,ALEXANDER,WHITE,,F,52,TAYLORSVILLE,NC,28681,REP,1,1,1
000000003197,ALEXANDER,WHITE,,F,83,TAYLORSVILLE,NC,28681,DEM,1,1,0
000000017221,ALEXANDER,WHITE,,M,76,TAYLORSVILLE,NC,28681,UNA,1,1,1
000000209809,ALEXANDER,WHITE,,U,62,TAYLORSVILLE,NC,28681,DEM,1,1,1
000000017365,ALEXANDER,WHITE,,F,62,TAYLORSVILLE,NC,28681,UNA,1,1,1
000000204953,ALEXANDER,WHITE,,F,26,TAYLORSVILLE,NC,28681,REP,1,1,1
000000209456,ALEXANDER,WHITE,,M,27,TAYLORSVILLE,NC,28681,REP,1,1,1
000000208711,ALEXANDER,WHITE,,F,58,TAYLORSVILLE,NC,28681,UNA,1,1,1
000000203759,ALEXANDER,WHITE,,F,23,TAYLORSVILLE,NC,28681,REP,1,1,1
000000200603,ALEXANDER,WHITE,,F,29,TAYLORSVILLE,NC,28681,REP,1,0,0
000000205110,ALEXANDER,WHITE,,F,59,TAYLORSVILLE,NC,28681,REP,1,1,1
000000193500,ALEXANDER,WHITE,,M,56,TAYLORSVILLE,NC,28681,REP,1,1,1
000000016743,ALEXANDER,WHITE,,F,74,HICKORY,NC,28601,REP,1,1,1
000000026748,ALEXANDER,WHITE,,M,77,HICKORY,NC,28601,DEM,1,1,1
000000020677,ALEXANDER,WHITE,,F,49,TAYLORSVILLE,NC,28681,DEM,1,1,1
000000027161,ALEXANDER,WHITE,,F,40,HIDDENITE,NC,28636,UNA,1,1,1
000000003002,ALEXANDER,WHITE,,M,65,TAYLORSVILLE,NC,28681,REP,1,1,1
000000004352,ALEXANDER,WHITE,,F,61,HIDDENITE,NC,28636,DEM,1,1,1
000000004353,ALEXANDER,WHITE,,M,55,TAYLORSVILLE,NC,28681,DEM,1,1,1
000000208109,ALEXANDER,WHITE,,F,48,TAYLORSVILLE,NC,28681,REP,1,1,1
000000208656,ALEXANDER,WHITE,,M,21,TAYLORSVILLE,NC,28681,REP,1,1,1
000000205584,ALEXANDER,WHITE,,M,28,TAYLORSVILLE,NC,28681,UNA,1,1,1
000000209925,ALEXANDER,WHITE,,F,24,TAYLORSVILLE,NC,28681,REP,0,0,0
000000189593,ALEXANDER,WHITE,,F,52,TAYLORSVILLE,NC,28681,REP,1,1,1
000000016657,ALEXANDER,BLACK or AFRICAN AMERICAN,,M,47,STONY POINT,NC,28678,DEM,1,1,1
000000010001,ALEXANDER,WHITE,,M,73,STONY POINT,NC,28678,DEM,1,1,0
000000004356,ALEXANDER,WHITE,,F,65,HIDDENITE,NC,28636,DEM,1,1,1
000000209929,ALEXANDER,WHITE,,U,48,TAYLORSVILLE,NC,28681,REP,1,1,1
000000004357,ALEXANDER,WHITE,,M,65,HIDDENITE,NC,28636,DEM,1,1,1
000000203005,ALEXANDER,WHITE,,M,50,HIDDENITE,NC,28636,UNA,1,1,1
000000205596,ALEXANDER,WHITE,,M,57,TAYLORSVILLE,NC,28681,UNA,1,1,1
000000189196,ALEXANDER,WHITE,,M,59,TAYLORSVILLE,NC,28681,UNA,1,1,1
000000004359,ALEXANDER,WHITE,,F,71,TAYLORSVILLE,NC,28681,REP,1,1,1
000000027166,ALEXANDER,WHITE,,F,39,TAYLORSVILLE,NC,28681,DEM,0,0,0
000000004363,ALEXANDER,WHITE,,F,76,HIDDENITE,NC,28636,DEM,1,0,0
000000008094,ALEXANDER,WHITE,,F,56,HIDDENITE,NC,28636,UNA,1,1,1
000000208597,ALEXANDER,WHITE,,M,20,TAYLORSVILLE,NC,28681,REP,0,0,0
000000004365,ALEXANDER,WHITE,,M,76,HIDDENITE,NC,28636,DEM,1,1,0
000000206516,ALEXANDER,WHITE,,M,76,STONY POINT,NC,28678,DEM,1,1,0
000000205036,ALEXANDER,WHITE,,F,46,HIDDENITE,NC,28636,DEM,1,1,1
000000198066,ALEXANDER,WHITE,,M,28,HIDDENITE,NC,28636,REP,1,1,1
000000010002,ALEXANDER,BLACK or AFRICAN AMERICAN,,F,70,STONY POINT,NC,28678,DEM,1,1,1
000000005811,ALEXANDER,WHITE,,M,57,HIDDENITE,NC,28636,REP,1,1,1
000000017066,ALEXANDER,WHITE,,F,48,HIDDENITE,NC,28636,UNA,1,1,1
000000196110,ALEXANDER,WHITE,,F,47,TAYLORSVILLE,NC,28681,REP,1,1,1
000000005812,ALEXANDER,WHITE,,M,67,HIDDENITE,NC,28636,DEM,1,1,1
000000004369,ALEXANDER,WHITE,,M,64,HIDDENITE,NC,28636,REP,1,0,0
000000189677,ALEXANDER,WHITE,,F,57,TAYLORSVILLE,NC,28681,DEM,1,1,1
000000209420,ALEXANDER,WHITE,,F,55,TAYLORSVILLE,NC,28681,REP,1,1,1
000000004371,ALEXANDER,WHITE,,F,56,HIDDENITE,NC,28636,UNA,1,1,1
000000023482,ALEXANDER,BLACK or AFRICAN AMERICAN,,F,69,HIDDENITE,NC,28636,UNA,1,1,1
000000193076,ALEXANDER,BLACK or AFRICAN AMERICAN,,F,49,HIDDENITE,NC,28636,UNA,1,1,1
000000203604,ALEXANDER,WHITE,,M,45,TAYLORSVILLE,NC,28681,DEM,1,1,1
000000190716,ALEXANDER,WHITE,,M,46,TAYLORSVILLE,NC,28681,REP,1,1,1
000000004373,ALEXANDER,WHITE,,F,77,TAYLORSVILLE,NC,28681,REP,1,1,1
000000004374,ALEXANDER,WHITE,,F,64,TAYLORSVILLE,NC,28681,UNA,1,1,1
000000004376,ALEXANDER,WHITE,,F,76,HIDDENITE,NC,28636,DEM,0,0,0
000000198838,ALEXANDER,WHITE,,F,52,TAYLORSVILLE,NC,28681,REP,1,1,1
000000004378,ALEXANDER,WHITE,,M,83,TAYLORSVILLE,NC,28681,REP,1,0,0
000000006951,ALEXANDER,WHITE,,M,56,TAYLORSVILLE,NC,28681,DEM,1,1,1
000000005815,ALEXANDER,WHITE,,F,67,HIDDENITE,NC,28636,DEM,1,1,1
000000004382,ALEXANDER,WHITE,,M,57,HIDDENITE,NC,28636,UNA,1,1,1
000000004383,ALEXANDER,WHITE,,M,71,TAYLORSVILLE,NC,28681,DEM,1,1,1
000000210319,ALEXANDER,WHITE,,M,19,HIDDENITE,NC,28636,UNA,1,1,1
000000208803,ALEXANDER,WHITE,,F,20,HIDDENITE,NC,28636,REP,0,0,0
000000205595,ALEXANDER,WHITE,,F,24,TAYLORSVILLE,NC,28681,UNA,1,0,1
000000205581,ALEXANDER,WHITE,,F,51,TAYLORSVILLE,NC,28681,UNA,1,1,1
000000020309,ALEXANDER,WHITE,,F,45,TAYLORSVILLE,NC,28681,REP,0,0,0
000000004386,ALEXANDER,WHITE,,M,64,HIDDENITE,NC,28636,UNA,1,0,0
000000202417,ALEXANDER,WHITE,,M,55,TAYLORSVILLE,NC,28681,REP,1,0,0
000000202777,ALEXANDER,WHITE,,F,26,TAYLORSVILLE,NC,28681,REP,0,0,0
000000203921,ALEXANDER,WHITE,,F,56,STONY POINT,NC,28678,REP,1,1,1
000000210147,ALEXANDER,WHITE,,F,21,TAYLORSVILLE,NC,28681,REP,0,0,0
000000027679,ALEXANDER,WHITE,,M,41,TAYLORSVILLE,NC,28681,REP,1,1,1
000000022642,ALEXANDER,WHITE,,M,62,HIDDENITE,NC,28636,REP,1,1,1
000000196759,ALEXANDER,WHITE,,M,51,TAYLORSVILLE,NC,28681,UNA,1,1,1
000000200840,ALEXANDER,WHITE,,M,67,TAYLORSVILLE,NC,28681,UNA,1,1,1
000000196799,ALEXANDER,WHITE,,M,30,HIDDENITE,NC,28636,REP,0,0,0
000000204810,ALEXANDER,WHITE,,M,48,STONY POINT,NC,28678,REP,1,1,1
000000189197,ALEXANDER,WHITE,,F,53,TAYLORSVILLE,NC,28681,UNA,1,1,1
000000000005,ALEXANDER,WHITE,,M,66,TAYLORSVILLE,NC,28681,REP,1,1,1
000000022341,ALEXANDER,WHITE,,F,58,HIDDENITE,NC,28636,REP,1,1,1
000000209536,ALEXANDER,UNDESIGNATED,,U,53,HICKORY,NC,28601,UNA,1,0,0
000000210015,ALEXANDER,UNDESIGNATED,,U,55,HICKORY,NC,28601,UNA,1,1,1
000000209521,ALEXANDER,OTHER,,F,19,TAYLORSVILLE,NC,28681,DEM,1,0,0
000000201512,ALEXANDER,WHITE,,F,26,STONY POINT,NC,28678,UNA,1,1,1
000000195753,ALEXANDER,WHITE,,F,50,TAYLORSVILLE,NC,28681,REP,1,1,1
000000198432,ALEXANDER,WHITE,,M,30,TAYLORSVILLE,NC,28681,REP,1,1,1
000000195754,ALEXANDER,WHITE,,F,72,TAYLORSVILLE,NC,28681,REP,1,1,1
000000200740,ALEXANDER,WHITE,,F,41,HIDDENITE,NC,28636,REP,1,1,1
000000189740,ALEXANDER,OTHER,,M,51,HIDDENITE,NC,28636,DEM,1,0,0
000000209447,ALEXANDER,TWO or MORE RACES,,M,21,HIDDENITE,NC,28636,REP,1,0,0
000000199473,ALEXANDER,WHITE,,F,43,HIDDENITE,NC,28636,UNA,0,0,0
000000200556,ALEXANDER,WHITE,,F,63,HICKORY,NC,28601,UNA,1,1,1
000000200492,ALEXANDER,WHITE,,M,76,HICKORY,NC,28601,UNA,1,0,0
000000196304,ALEXANDER,WHITE,,F,44,TAYLORSVILLE,NC,28681,REP,1,1,1
000000196303,ALEXANDER,WHITE,,M,44,TAYLORSVILLE,NC,28681,REP,1,1,1
000000025957,ALEXANDER,WHITE,,F,75,TAYLORSVILLE,NC,28681,DEM,0,0,0
000000020824,ALEXANDER,WHITE,,F,45,STONY POINT,NC,28678,DEM,1,1,1
000000200197,ALEXANDER,WHITE,,M,66,TAYLORSVILLE,NC,28681,UNA,0,0,0
000000210333,ALEXANDER,WHITE,,M,21,TAYLORSVILLE,NC,28681,REP,1,1,1
000000029166,ALEXANDER,WHITE,,M,48,TAYLORSVILLE,NC,28681,REP,1,1,1
000000010007,ALEXANDER,WHITE,,F,88,STONY POINT,NC,28678,DEM,1,1,0
000000191453,ALEXANDER,WHITE,,F,73,TAYLORSVILLE,NC,28681,DEM,1,1,1
000000195413,ALEXANDER,WHITE,,F,48,TAYLORSVILLE,NC,28681,REP,1,1,1
000000207740,ALEXANDER,WHITE,,F,20,TAYLORSVILLE,NC,28681,UNA,0,0,0
000000203985,ALEXANDER,WHITE,,M,24,HIDDENITE,NC,28636,UNA,1,1,1
000000004388,ALEXANDER,WHITE,,M,54,HIDDENITE,NC,28636,UNA,1,1,1
000000029610,ALEXANDER,WHITE,,F,86,TAYLORSVILLE,NC,28681,DEM,1,1,1
000000199173,ALEXANDER,WHITE,,F,73,TAYLORSVILLE,NC,28681,REP,1,1,1
000000207874,ALEXANDER,WHITE,,F,20,HIDDENITE,NC,28636,REP,0,0,0
000000008985,ALEXANDER,WHITE,,M,73,TAYLORSVILLE,NC,28681,UNA,1,1,1
000000189999,ALEXANDER,WHITE,,M,60,HIDDENITE,NC,28636,UNA,1,0,0
000000026914,ALEXANDER,WHITE,,M,45,HIDDENITE,NC,28636,REP,1,1,1
000000011337,ALEXANDER,WHITE,,F,74,HIDDENITE,NC,28636,DEM,1,1,1
000000199172,ALEXANDER,WHITE,,M,74,TAYLORSVILLE,NC,28681,REP,1,1,1
000000004392,ALEXANDER,WHITE,,F,71,HIDDENITE,NC,28636,REP,1,1,1
000000018314,ALEXANDER,WHITE,,M,55,HIDDENITE,NC,28636,DEM,1,1,1
000000011338,ALEXANDER,WHITE,,M,75,HIDDENITE,NC,28636,DEM,1,1,0
000000004395,ALEXANDER,WHITE,,F,82,HIDDENITE,NC,28636,REP,1,1,1
000000206573,ALEXANDER,WHITE,,F,60,HIDDENITE,NC,28636,UNA,1,1,1
000000017147,ALEXANDER,WHITE,,M,62,TAYLORSVILLE,NC,28681,REP,1,1,1
000000030713,ALEXANDER,WHITE,,M,48,HIDDENITE,NC,28636,DEM,1,1,0
000000210009,ALEXANDER,WHITE,,M,54,STATESVILLE,NC,28625,REP,0,0,0
000000028620,ALEXANDER,WHITE,,F,46,HIDDENITE,NC,28636,DEM,1,1,1
000000208277,ALEXANDER,WHITE,,F,62,HIDDENITE,NC,28636,REP,1,0,0
000000189134,ALEXANDER,WHITE,,M,47,TAYLORSVILLE,NC,28681,REP,1,1,1
000000019729,ALEXANDER,WHITE,,F,46,TAYLORSVILLE,NC,28681,REP,1,1,1
000000209392,ALEXANDER,WHITE,,M,63,TAYLORSVILLE,NC,28681,UNA,1,1,1
000000198093,ALEXANDER,WHITE,,M,78,HICKORY,NC,28601,UNA,1,1,1
000000198094,ALEXANDER,WHITE,,F,73,HICKORY,NC,28601,UNA,1,1,1
000000193459,ALEXANDER,WHITE,,M,75,TAYLORSVILLE,NC,28681,UNA,1,1,1
000000193460,ALEXANDER,WHITE,,F,69,TAYLORSVILLE,NC,28681,UNA,1,1,0
000000194865,ALEXANDER,UNDESIGNATED,,M,52,TAYLORSVILLE,NC,28681,DEM,1,1,1
000000203822,ALEXANDER,WHITE,,F,26,TAYLORSVILLE,NC,28681,REP,0,0,0
000000202476,ALEXANDER,WHITE,,F,55,TAYLORSVILLE,NC,28681,REP,1,1,1
000000203821,ALEXANDER,WHITE,,M,24,TAYLORSVILLE,NC,28681,REP,0,0,0
000000208572,ALEXANDER,WHITE,,F,20,TAYLORSVILLE,NC,28681,REP,1,1,0
000000202475,ALEXANDER,WHITE,,M,54,TAYLORSVILLE,NC,28681,REP,1,1,1
000000204548,ALEXANDER,BLACK or AFRICAN AMERICAN,,M,54,TAYLORSVILLE,NC,28681,DEM,1,1,1
000000026572,ALEXANDER,BLACK or AFRICAN AMERICAN,,F,43,TAYLORSVILLE,NC,28681,DEM,1,1,1
000000207325,ALEXANDER,WHITE,,M,68,TAYLORSVILLE,NC,28681,REP,1,0,0
000000030746,ALEXANDER,WHITE,,F,82,TAYLORSVILLE,NC,28681,REP,1,0,0
000000023746,ALEXANDER,WHITE,,M,55,HICKORY,NC,28601,UNA,1,1,1
000000204900,ALEXANDER,WHITE,,M,24,HICKORY,NC,28601,UNA,1,1,1
000000023747,ALEXANDER,WHITE,,F,54,HICKORY,NC,28601,UNA,1,1,1
000000018194,ALEXANDER,WHITE,,F,63,TAYLORSVILLE,NC,28681,REP,1,1,1
000000018091,ALEXANDER,WHITE,,F,72,TAYLORSVILLE,NC,28681,UNA,1,1,1
000000018195,ALEXANDER,WHITE,,M,54,TAYLORSVILLE,NC,28681,REP,1,1,1
000000201073,ALEXANDER,WHITE,,F,26,TAYLORSVILLE,NC,28681,REP,1,1,1
000000199638,ALEXANDER,WHITE,,M,27,TAYLORSVILLE,NC,28681,UNA,1,1,1
000000202586,ALEXANDER,WHITE,,F,72,HIDDENITE,NC,28636,UNA,1,1,0
000000202587,ALEXANDER,WHITE,,M,76,HIDDENITE,NC,28636,UNA,1,1,0
000000208362,ALEXANDER,WHITE,,F,32,TAYLORSVILLE,NC,28681,DEM,1,1,1
000000030046,ALEXANDER,WHITE,,M,80,TAYLORSVILLE,NC,28681,REP,0,0,0
000000208661,ALEXANDER,WHITE,,M,19,HIDDENITE,NC,28636,REP,0,0,0
000000030079,ALEXANDER,WHITE,,F,80,TAYLORSVILLE,NC,28681,REP,0,0,0
000000205754,ALEXANDER,WHITE,,M,22,HIDDENITE,NC,28636,REP,1,1,1
000000203595,ALEXANDER,BLACK or AFRICAN AMERICAN,,F,26,TAYLORSVILLE,NC,28681,DEM,0,0,0
000000017797,ALEXANDER,WHITE,,F,50,HIDDENITE,NC,28636,REP,1,1,1
000000203506,ALEXANDER,WHITE,,M,25,HIDDENITE,NC,28636,REP,1,1,1
000000023052,ALEXANDER,WHITE,,M,63,TAYLORSVILLE,NC,28681,REP,1,1,1
000000021619,ALEXANDER,WHITE,,M,82,TAYLORSVILLE,NC,28681,UNA,1,1,0
000000209645,ALEXANDER,WHITE,,M,49,TAYLORSVILLE,NC,28681,UNA,1,1,1
000000197924,ALEXANDER,WHITE,,F,38,TAYLORSVILLE,NC,28681,DEM,1,1,1
000000019871,ALEXANDER,WHITE,,F,61,STONY POINT,NC,28678,DEM,0,0,0
000000195293,ALEXANDER,WHITE,,F,33,TAYLORSVILLE,NC,28681,UNA,1,1,1
000000196899,ALEXANDER,WHITE,,F,76,TAYLORSVILLE,NC,28681,REP,1,1,1
000000189773,ALEXANDER,WHITE,,F,70,TAYLORSVILLE,NC,28681,REP,1,1,1
000000192924,ALEXANDER,WHITE,,F,69,TAYLORSVILLE,NC,28681,UNA,1,1,1
000000191331,ALEXANDER,WHITE,,M,66,TAYLORSVILLE,NC,28681,DEM,1,1,1
000000021620,ALEXANDER,WHITE,,F,83,TAYLORSVILLE,NC,28681,UNA,1,1,0
000000207933,ALEXANDER,WHITE,,M,40,TAYLORSVILLE,NC,28681,UNA,1,1,1
000000005310,ALEXANDER,WHITE,,M,50,HIDDENITE,NC,28636,DEM,1,1,1
000000209283,ALEXANDER,WHITE,,F,43,TAYLORSVILLE,NC,28681,UNA,1,1,1
000000193542,ALEXANDER,WHITE,,F,63,TAYLORSVILLE,NC,28681,DEM,1,1,1
000000209599,ALEXANDER,WHITE,,M,36,TAYLORSVILLE,NC,28681,UNA,1,1,1
000000197956,ALEXANDER,WHITE,,M,41,TAYLORSVILLE,NC,28681,REP,1,1,1
000000191332,ALEXANDER,WHITE,,F,62,TAYLORSVILLE,NC,28681,DEM,1,1,1
000000210006,ALEXANDER,WHITE,,M,24,TAYLORSVILLE,NC,28681,REP,1,1,1
000000210160,ALEXANDER,WHITE,,F,37,TAYLORSVILLE,NC,28681,REP,1,1,1
000000209164,ALEXANDER,WHITE,,U,60,TAYLORSVILLE,NC,28681,DEM,1,1,0
000000209582,ALEXANDER,ASIAN,,F,48,HIDDENITE,NC,28636,UNA,0,0,0
000000195205,ALEXANDER,WHITE,,M,55,HIDDENITE,NC,28636,REP,0,0,0
000000202010,ALEXANDER,WHITE,,F,74,HICKORY,NC,28601,REP,1,1,1
000000203546,ALEXANDER,WHITE,,M,24,TAYLORSVILLE,NC,28681,UNA,1,0,0
000000202011,ALEXANDER,WHITE,,M,74,HICKORY,NC,28601,REP,1,1,1
000000021746,ALEXANDER,WHITE,,F,58,TAYLORSVILLE,NC,28681,REP,1,1,1
000000209138,ALEXANDER,WHITE,,U,32,TAYLORSVILLE,NC,28681,DEM,1,1,0
000000198022,ALEXANDER,WHITE,,M,66,TAYLORSVILLE,NC,28681,UNA,1,1,1
000000197457,ALEXANDER,WHITE,,F,33,TAYLORSVILLE,NC,28681,DEM,1,1,1
000000208922,ALEXANDER,WHITE,,F,65,TAYLORSVILLE,NC,28681,REP,1,0,0
000000208921,ALEXANDER,WHITE,,M,87,TAYLORSVILLE,NC,28681,REP,1,0,0
000000027521,ALEXANDER,WHITE,,F,71,HICKORY,NC,28601,REP,1,1,1
000000027522,ALEXANDER,WHITE,,M,73,HICKORY,NC,28601,REP,1,1,1
000000192212,ALEXANDER,ASIAN,,M,57,STONY POINT,NC,28678,DEM,1,1,1
000000192213,ALEXANDER,ASIAN,,F,61,STONY POINT,NC,28678,DEM,1,1,1
000000029310,ALEXANDER,WHITE,,F,38,TAYLORSVILLE,NC,28681,UNA,1,1,1
000000005151,ALEXANDER,BLACK or AFRICAN AMERICAN,,F,51,TAYLORSVILLE,NC,28681,DEM,1,0,0
000000197301,ALEXANDER,WHITE,,M,57,HICKORY,NC,28601,REP,1,1,1
000000197170,ALEXANDER,WHITE,,F,51,HICKORY,NC,28601,REP,1,1,1
000000207806,ALEXANDER,WHITE,,M,20,HIDDENITE,NC,28636,REP,0,0,0
000000015353,ALEXANDER,WHITE,,M,54,HIDDENITE,NC,28636,DEM,0,0,0
000000016097,ALEXANDER,WHITE,,F,54,HIDDENITE,NC,28636,DEM,1,1,1
000000028681,ALEXANDER,WHITE,,M,69,HICKORY,NC,28601,UNA,1,1,0
000000024758,ALEXANDER,WHITE,,F,70,HICKORY,NC,28601,REP,1,1,1
000000021294,ALEXANDER,WHITE,,F,57,TAYLORSVILLE,NC,28681,UNA,0,0,0
000000208912,ALEXANDER,WHITE,,F,67,HICKORY,NC,28601,UNA,1,1,1
000000020895,ALEXANDER,WHITE,,F,58,TAYLORSVILLE,NC,28681,REP,1,1,1
000000031729,ALEXANDER,WHITE,,F,56,TAYLORSVILLE,NC,28681,UNA,1,1,1
000000000012,ALEXANDER,WHITE,,F,58,TAYLORSVILLE,NC,28681,DEM,1,1,1
000000210141,ALEXANDER,WHITE,,M,36,TAYLORSVILLE,NC,28681,UNA,1,1,1
000000193899,ALEXANDER,WHITE,,F,76,TAYLORSVILLE,NC,28681,REP,1,1,0
000000193900,ALEXANDER,WHITE,,M,79,TAYLORSVILLE,NC,28681,REP,1,1,0
000000208102,ALEXANDER,WHITE,,M,20,TAYLORSVILLE,NC,28681,REP,1,1,1
000000200679,ALEXANDER,WHITE,,F,39,TAYLORSVILLE,NC,28681,DEM,1,1,1
000000207717,ALEXANDER,WHITE,,M,35,TAYLORSVILLE,NC,28681,REP,1,1,1
000000209457,ALEXANDER,WHITE,,M,56,TAYLORSVILLE,NC,28681,DEM,1,1,1
000000207508,ALEXANDER,WHITE,,F,45,TAYLORSVILLE,NC,28681,REP,0,0,0
000000030904,ALEXANDER,WHITE,,F,38,HIDDENITE,NC,28636,REP,1,1,1
000000011104,ALEXANDER,WHITE,,F,65,TAYLORSVILLE,NC,28681,REP,0,0,0
000000200516,ALEXANDER,WHITE,,M,68,TAYLORSVILLE,NC,28681,REP,1,0,0
000000203422,ALEXANDER,OTHER,,F,41,TAYLORSVILLE,NC,28681,DEM,1,1,1
000000205464,ALEXANDER,WHITE,,M,23,HIDDENITE,NC,28636,DEM,1,1,1
000000012742,ALEXANDER,WHITE,,F,82,TAYLORSVILLE,NC,28681,DEM,0,0,0
000000016278,ALEXANDER,WHITE,,M,47,TAYLORSVILLE,NC,28681,UNA,1,1,1
000000208240,ALEXANDER,WHITE,,M,59,TAYLORSVILLE,NC,28681,UNA,1,0,0
000000208165,ALEXANDER,WHITE,,F,59,TAYLORSVILLE,NC,28681,UNA,1,0,0
000000193824,ALEXANDER,WHITE,,F,61,HIDDENITE,NC,28636,DEM,1,1,1
000000194524,ALEXANDER,WHITE,,M,63,HIDDENITE,NC,28636,UNA,1,1,0
000000193193,ALEXANDER,WHITE,,F,49,TAYLORSVILLE,NC,28681,DEM,0,0,0
000000199651,ALEXANDER,WHITE,,M,72,TAYLORSVILLE,NC,28681,UNA,1,1,1
000000021053,ALEXANDER,WHITE,,F,69,TAYLORSVILLE,NC,28681,UNA,1,1,0
000000005313,ALEXANDER,WHITE,,F,74,HIDDENITE,NC,28636,UNA,1,1,0
000000206454,ALEXANDER,WHITE,,M,53,TAYLORSVILLE,NC,28681,REP,1,1,1
000000207383,ALEXANDER,WHITE,,M,37,STONY POINT,NC,28678,REP,1,0,0
000000189687,ALEXANDER,WHITE,,M,72,HICKORY,NC,28601,REP,0,0,0
000000032123,ALEXANDER,WHITE,,F,72,HICKORY,NC,28601,REP,0,0,0
000000202182,ALEXANDER,WHITE,,F,47,TAYLORSVILLE,NC,28681,REP,0,0,0
000000029988,ALEXANDER,WHITE,,F,38,HIDDENITE,NC,28636,REP,1,1,1
000000190759,ALEXANDER,WHITE,,F,37,TAYLORSVILLE,NC,28681,REP,1,1,1
000000007418,ALEXANDER,WHITE,,F,65,GRANITE FALLS,NC,28630,REP,1,1,1
000000029418,ALEXANDER,WHITE,,F,59,STONY POINT,NC,28678,UNA,1,0,1
000000210106,ALEXANDER,WHITE,,M,46,TAYLORSVILLE,NC,28681,REP,1,1,1
000000023624,ALEXANDER,WHITE,,M,41,HIDDENITE,NC,28636,DEM,1,1,1
000000007419,ALEXANDER,WHITE,,M,65,GRANITE FALLS,NC,28630,REP,1,1,1
000000009000,ALEXANDER,WHITE,,F,65,TAYLORSVILLE,NC,28681,UNA,0,0,0
000000009001,ALEXANDER,WHITE,,M,66,TAYLORSVILLE,NC,28681,REP,1,1,0
000000199910,ALEXANDER,WHITE,,F,61,TAYLORSVILLE,NC,28681,DEM,1,1,1
000000021413,ALEXANDER,WHITE,,F,45,TAYLORSVILLE,NC,28681,REP,1,1,1
000000207670,ALEXANDER,WHITE,,M,65,HICKORY,NC,28601,REP,1,1,1
000000021764,ALEXANDER,WHITE,,F,75,TAYLORSVILLE,NC,28681,DEM,1,1,1
000000205780,ALEXANDER,WHITE,,F,25,TAYLORSVILLE,NC,28681,REP,0,0,0
000000018072,ALEXANDER,WHITE,,F,72,TAYLORSVILLE,NC,28681,REP,0,0,0
000000009002,ALEXANDER,WHITE,,M,65,HICKORY,NC,28601,REP,1,1,1
000000190390,ALEXANDER,WHITE,,M,46,TAYLORSVILLE,NC,28681,UNA,1,1,1
000000202238,ALEXANDER,WHITE,,F,65,HICKORY,NC,28601,REP,1,1,1
000000012749,ALEXANDER,WHITE,,F,65,GRANITE FALLS,NC,28630,REP,1,1,1
000000012751,ALEXANDER,WHITE,,M,88,TAYLORSVILLE,NC,28681,REP,1,0,0
000000019680,ALEXANDER,WHITE,,M,46,TAYLORSVILLE,NC,28681,REP,1,1,1
000000020224,ALEXANDER,WHITE,,F,49,TAYLORSVILLE,NC,28681,DEM,1,1,1
000000018071,ALEXANDER,WHITE,,M,70,TAYLORSVILLE,NC,28681,REP,1,1,1
000000207594,ALEXANDER,WHITE,,F,59,HICKORY,NC,28601,UNA,1,1,1
